 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
  11468 | Dark Iron Fanny Pack               |   1 |  5.01% | 80.00% | 74.99% | Direct
  11446 | A Crumpled Up Note                 |  50 |  0.14% | 25.00% | 24.86% | Direct
  22528 | Dark Iron Scraps                   |   1 |  0.74% | 13.68% | 12.94% | Direct
  14047 | Runecloth                          |  50 | 42.32% | 30.36% | 11.96% | Direct
  18945 | Dark Iron Residue                  |   1 | 24.80% | 18.15% |  6.65% | Direct
  11078 | Relic Coffer Key                   |   1 | 12.54% |  8.52% |  4.02% | Direct
   8950 | Homemade Cherry Pie                |  55 |  5.95% |  5.14% |  0.81% | Direct
   8766 | Morning Glory Dew                  |  55 |  2.95% |  2.31% |  0.64% | Direct
  13446 | Major Healing Potion               |  55 |  1.72% |  2.14% |  0.42% | Direct
  13443 | Superior Mana Potion               |  51 |  0.89% |  1.28% |  0.39% | Direct
   7909 | Aquamarine                         |  45 |  0.50% |  0.13% |  0.37% | 24036
   7910 | Star Ruby                          |  50 |  0.47% |  0.12% |  0.35% | 24029
   4638 | Reinforced Steel Lockbox           |  45 |  0.43% |  0.23% |  0.20% | Direct
  15263 | Royal Mallet                       |  50 |  0.19% |  0.01% |  0.18% | 24025
  15323 | Percussion Shotgun                 |  50 |  0.18% |  0.01% |  0.17% | 24025
  15245 | Vorpal Dagger                      |  50 |  0.17% |  0.01% |  0.16% | 24025
  15291 | Harpy Needler                      |  51 |  0.16% |  0.01% |  0.15% | 24025
  15279 | Ivory Wand                         |  51 |  0.15% |  0.01% |  0.14% | 24025
  15216 | Rune Sword                         |  51 |  0.15% |  0.01% |  0.14% | 24025
  13820 | Clout Mace                         |  54 |  0.24% |  0.11% |  0.14% | 24024
   5758 | Mithril Lockbox                    |  50 |  0.38% |  0.24% |  0.14% | Direct
   4426 | Scroll of Strength III             |  50 |  0.33% |  0.46% |  0.13% | Direct
  13821 | Bulky Maul                         |  57 |  0.23% |  0.11% |  0.12% | 24024
  13816 | Fine Longsword                     |  52 |  0.22% |  0.11% |  0.12% | 24024
   4019 | Heavy Flint Axe                    |  48 |  0.23% |  0.12% |  0.11% | 24036
  13819 | Balanced War Axe                   |  59 |  0.22% |  0.11% |  0.11% | 24024
  13823 | Stout War Staff                    |  51 |  0.22% |  0.11% |  0.11% | 24024
  13817 | Tapered Greatsword                 |  58 |  0.22% |  0.11% |  0.11% | 24024
  13818 | Jagged Axe                         |  56 |  0.22% |  0.11% |  0.11% | 24024
   4025 | Balanced Long Bow                  |  45 |  0.22% |  0.12% |  0.10% | 24036
   4425 | Scroll of Agility III              |  50 |  0.34% |  0.44% |  0.10% | Direct
   4018 | Whetted Claymore                   |  42 |  0.22% |  0.12% |  0.10% | 24036
  13825 | Primed Musket                      |  57 |  0.21% |  0.11% |  0.10% | 24024
   9940 | Abjurer's Hood                     |  50 |  0.11% |  0.01% |  0.10% | 24025
   4022 | Crushing Maul                      |  50 |  0.22% |  0.12% |  0.10% | 24036
   8248 | Imperial Red Cloak                 |  50 |  0.11% |  0.01% |  0.10% | 24025
  13824 | Recurve Long Bow                   |  55 |  0.22% |  0.12% |  0.10% | 24036
  10306 | Scroll of Spirit IV                |  55 |  0.20% |  0.30% |  0.10% | Direct
   4026 | Sentinel Musket                    |  43 |  0.21% |  0.12% |  0.10% | 24036
   4021 | Blunting Mace                      |  46 |  0.21% |  0.12% |  0.10% | 24036
   4024 | Heavy War Staff                    |  47 |  0.21% |  0.12% |  0.10% | 24036
  10058 | Duskwoven Sandals                  |  50 |  0.10% |  0.01% |  0.09% | 24025
   4023 | Fine Pointed Dagger                |  44 |  0.21% |  0.12% |  0.09% | 24036
  13822 | Spiked Dagger                      |  53 |  0.20% |  0.11% |  0.09% | 24024
  10059 | Duskwoven Bracers                  |  50 |  0.10% |  0.01% |  0.09% | 24025
   4017 | Sharp Shortsword                   |  46 |  0.20% |  0.12% |  0.08% | 24036
   8253 | Imperial Red Sash                  |  51 |  0.09% |  0.01% |  0.08% | 24025
   9942 | Abjurer's Pants                    |  50 |  0.09% |  0.01% |  0.08% | 24025
  10061 | Duskwoven Turban                   |  51 |  0.09% |  0.01% |  0.08% | 24025
   4020 | Splintering Battle Axe             |  49 |  0.20% |  0.12% |  0.08% | 24036
   8247 | Imperial Red Bracers               |  51 |  0.09% |  0.01% |  0.08% | 24025
  10062 | Duskwoven Gloves                   |  51 |  0.09% |  0.01% |  0.08% | 24025
  15253 | Beheading Blade                    |  52 |  0.09% |  0.01% |  0.08% | 24027
   8119 | Heraldic Breastplate               |  51 |  0.09% |  0.01% |  0.08% | 24025
  10305 | Scroll of Protection IV            |  55 |  0.22% |  0.30% |  0.08% | Direct
   9955 | Chieftain's Shoulders              |  50 |  0.09% |  0.01% |  0.08% | 24025
   7527 | Cabalist Chestpiece                |  50 |  0.08% |  0.01% |  0.08% | 24025
   8255 | Serpentskin Girdle                 |  50 |  0.08% |  0.01% |  0.08% | 24025
   8257 | Serpentskin Bracers                |  50 |  0.08% |  0.01% |  0.08% | 24025
   9953 | Chieftain's Headdress              |  50 |  0.08% |  0.01% |  0.08% | 24025
   4500 | Traveler's Backpack                |  55 |  0.07% |  0.14% |  0.07% | Direct
  10063 | Duskwoven Amice                    |  51 |  0.08% |  0.01% |  0.07% | 24025
  10208 | Overlord's Legplates               |  50 |  0.08% |  0.01% |  0.07% | 24025
  10209 | Overlord's Spaulders               |  50 |  0.08% |  0.01% |  0.07% | 24025
   8259 | Serpentskin Cloak                  |  50 |  0.08% |  0.01% |  0.07% | 24025
   8274 | Valorous Chestguard                |  51 |  0.08% |  0.01% |  0.07% | 24025
  10075 | Righteous Spaulders                |  51 |  0.08% |  0.01% |  0.07% | 24025
  10185 | Swashbuckler's Cape                |  51 |  0.08% |  0.01% |  0.07% | 24025
   9957 | Warmonger's Chestpiece             |  50 |  0.08% |  0.01% |  0.07% | 24025
  10131 | Revenant Boots                     |  50 |  0.08% |  0.01% |  0.07% | 24025
  10239 | Heavy Lamellar Vambraces           |  51 |  0.08% |  0.01% |  0.07% | 24025
   8133 | Myrmidon's Pauldrons               |  50 |  0.07% |  0.01% |  0.07% | 24025
  10129 | Revenant Gauntlets                 |  50 |  0.07% |  0.01% |  0.07% | 24025
  10243 | Heavy Lamellar Girdle              |  51 |  0.07% |  0.01% |  0.07% | 24025
  15274 | Diviner Long Staff                 |  52 |  0.08% |  0.01% |  0.07% | 24027
   9954 | Chieftain's Leggings               |  51 |  0.07% |  0.01% |  0.07% | 24025
   8131 | Myrmidon's Helm                    |  50 |  0.07% |  0.01% |  0.06% | 24025
  10130 | Revenant Girdle                    |  50 |  0.07% |  0.01% |  0.06% | 24025
  10132 | Revenant Helmet                    |  51 |  0.07% |  0.01% |  0.06% | 24025
  12024 | Vanadium Talisman                  |  50 |  0.07% |  0.01% |  0.06% | 24025
  10081 | Lord's Girdle                      |  50 |  0.07% |  0.01% |  0.06% | 24025
  10072 | Righteous Gloves                   |  51 |  0.07% |  0.01% |  0.06% | 24025
  10080 | Lord's Gauntlets                   |  50 |  0.07% |  0.01% |  0.06% | 24025
  12001 | Onyx Ring                          |  50 |  0.07% |  0.01% |  0.06% | 24025
   8085 | Light Plate Pants                  |  55 |  0.05% |  0.11% |  0.06% | 24024
   8266 | Ebonhold Cloak                     |  51 |  0.07% |  0.01% |  0.06% | 24025
  10194 | Crusader's Cloak                   |  50 |  0.07% |  0.01% |  0.06% | 24025
  10134 | Revenant Shoulders                 |  51 |  0.07% |  0.01% |  0.06% | 24025
  15227 | Diamond-Tip Bludgeon               |  49 |  0.07% |  0.01% |  0.06% | 24045
  15236 | Moon Cleaver                       |  52 |  0.07% |  0.01% |  0.06% | 24027
   8081 | Light Plate Belt                   |  57 |  0.05% |  0.11% |  0.06% | 24024
   8084 | Light Plate Gloves                 |  56 |  0.05% |  0.11% |  0.06% | 24024
   1639 | Grinning Axe                       |  49 |  0.06% |  0.01% |  0.06% | 24045
  12044 | Arctic Pendant                     |  51 |  0.06% |  0.01% |  0.06% | 24025
  15228 | Smashing Star                      |  53 |  0.07% |  0.01% |  0.06% | 24027
   8080 | Light Plate Chestpiece             |  58 |  0.05% |  0.11% |  0.05% | 24024
   8082 | Light Plate Boots                  |  52 |  0.05% |  0.11% |  0.05% | 24024
   8132 | Myrmidon's Leggings                |  51 |  0.06% |  0.01% |  0.05% | 24025
   8755 | Light Plate Helmet                 |  55 |  0.06% |  0.11% |  0.05% | 24024
  10068 | Righteous Boots                    |  51 |  0.06% |  0.01% |  0.05% | 24025
  10082 | Lord's Boots                       |  51 |  0.06% |  0.01% |  0.05% | 24025
   3989 | Blocking Targe                     |  42 |  0.17% |  0.12% |  0.05% | 24036
   1203 | Aegis of Stormwind                 |  54 |  0.00% |  0.05% |  0.05% | 24030
   1721 | Viking Warhammer                   |  54 |  0.00% |  0.05% |  0.05% | 24030
   5266 | Eye of Adaegus                     |  53 |  0.00% |  0.05% |  0.05% | 24028
  10083 | Lord's Crown                       |  51 |  0.06% |  0.01% |  0.05% | 24025
  10191 | Crusader's Armguards               |  51 |  0.06% |  0.01% |  0.05% | 24025
  13076 | Giantslayer Bracers                |  48 |  0.00% |  0.05% |  0.05% | 24046
   7517 | Gossamer Tunic                     |  50 |  0.06% |  0.01% |  0.05% | 24025
   8126 | Myrmidon's Breastplate             |  51 |  0.06% |  0.01% |  0.05% | 24025
  11989 | Vanadium Loop                      |  51 |  0.06% |  0.01% |  0.05% | 24025
  13059 | Stoneraven                         |  52 |  0.00% |  0.05% |  0.05% | 24028
  13126 | Battlecaller Gauntlets             |  53 |  0.00% |  0.05% |  0.05% | 24028
  13144 | Serenity Belt                      |  53 |  0.00% |  0.05% |  0.05% | 24028
  15280 | Wizard's Hand                      |  53 |  0.06% |  0.01% |  0.05% | 24027
   8083 | Light Plate Bracers                |  53 |  0.06% |  0.11% |  0.05% | 24024
   7518 | Gossamer Robe                      |  50 |  0.06% |  0.01% |  0.05% | 24025
   7734 | Six Demon Bag                      |  51 |  0.00% |  0.05% |  0.05% | 24026
  11302 | Uther's Strength                   |  52 |  0.00% |  0.05% |  0.05% | 24028
  13018 | Executioner's Cleaver              |  48 |  0.00% |  0.05% |  0.05% | 24046
  13043 | Blade of the Titans                |  49 |  0.00% |  0.05% |  0.05% | 24046
  13052 | Warmonger                          |  52 |  0.00% |  0.05% |  0.05% | 24028
  13073 | Mugthol's Helm                     |  52 |  0.00% |  0.05% |  0.05% | 24028
  13085 | Horizon Choker                     |  51 |  0.00% |  0.05% |  0.05% | 24026
  13089 | Skibi's Pendant                    |  49 |  0.00% |  0.05% |  0.05% | 24046
  10190 | Swashbuckler's Belt                |  52 |  0.06% |  0.01% |  0.05% | 24027
  13008 | Dalewind Trousers                  |  52 |  0.00% |  0.05% |  0.05% | 24028
  13030 | Basilisk Bone                      |  51 |  0.00% |  0.05% |  0.05% | 24026
  13109 | Blackflame Cape                    |  49 |  0.00% |  0.05% |  0.05% | 24046
  13035 | Serpent Slicer                     |  49 |  0.01% |  0.05% |  0.05% | 24046
  13066 | Wyrmslayer Spaulders               |  51 |  0.01% |  0.05% |  0.05% | 24026
   8086 | Light Plate Shoulderpads           |  54 |  0.06% |  0.11% |  0.04% | 24024
  15252 | Tusker Sword                       |  49 |  0.05% |  0.01% |  0.04% | 24045
   2564 | Elven Spirit Claws                 |  50 |  0.01% |  0.05% |  0.04% | 24026
  13009 | Cow King's Hide                    |  51 |  0.01% |  0.05% |  0.04% | 24026
  13046 | Blanchard's Stout                  |  50 |  0.01% |  0.05% |  0.04% | 24026
   8246 | Imperial Red Boots                 |  52 |  0.05% |  0.01% |  0.04% | 24027
  15294 | Siege Bow                          |  53 |  0.05% |  0.01% |  0.04% | 24027
  13065 | Wand of Allistarj                  |  50 |  0.01% |  0.05% |  0.04% | 24026
  13134 | Belt of the Gladiator              |  49 |  0.01% |  0.05% |  0.04% | 24046
   8249 | Imperial Red Gloves                |  52 |  0.05% |  0.01% |  0.04% | 24027
  11737 | Libram of Voracity                 |  50 |  0.07% |  0.03% |  0.04% | Direct
  13125 | Elven Chain Boots                  |  50 |  0.01% |  0.05% |  0.04% | 24026
   3987 | Deflecting Tower                   |  53 |  0.15% |  0.11% |  0.04% | 24024
  10174 | Mystical Cape                      |  52 |  0.05% |  0.01% |  0.04% | 24027
   4006 | Overlinked Chain Shoulderpads      |  42 |  0.08% |  0.12% |  0.04% | 24036
  10180 | Mystical Belt                      |  52 |  0.05% |  0.01% |  0.04% | 24027
  10184 | Swashbuckler's Bracers             |  52 |  0.05% |  0.01% |  0.04% | 24027
  13139 | Guttbuster                         |  50 |  0.01% |  0.05% |  0.04% | 24026
   8250 | Imperial Red Mantle                |  52 |  0.05% |  0.01% |  0.04% | 24027
  10073 | Righteous Helmet                   |  52 |  0.05% |  0.01% |  0.04% | 24027
   3990 | Crested Buckler                    |  56 |  0.14% |  0.11% |  0.04% | 24024
   4000 | Overlinked Chain Belt              |  44 |  0.08% |  0.12% |  0.04% | 24036
   4003 | Overlinked Chain Cloak             |  49 |  0.08% |  0.12% |  0.04% | 24036
   8751 | Overlinked Coif                    |  44 |  0.08% |  0.12% |  0.04% | 24036
   8260 | Serpentskin Gloves                 |  52 |  0.04% |  0.01% |  0.03% | 24027
  10186 | Swashbuckler's Gloves              |  53 |  0.04% |  0.01% |  0.03% | 24027
   4007 | Overlinked Chain Armor             |  45 |  0.09% |  0.12% |  0.03% | 24036
  11732 | Libram of Rumination               |  50 |  0.06% |  0.03% |  0.03% | Direct
   8106 | Hibernal Armor                     |  51 |  0.04% |  0.01% |  0.03% | 24025
   8113 | Hibernal Robe                      |  51 |  0.04% |  0.01% |  0.03% | 24025
   9941 | Abjurer's Mantle                   |  49 |  0.04% |  0.01% |  0.03% | 24045
  10066 | Duskwoven Sash                     |  49 |  0.04% |  0.01% |  0.03% | 24045
  15937 | Hibernal Sphere                    |  51 |  0.04% |  0.01% |  0.03% | 24025
   3986 | Protective Pavise                  |  48 |  0.15% |  0.12% |  0.03% | 24036
   3999 | Laminated Scale Armor              |  54 |  0.08% |  0.11% |  0.03% | 24024
   8254 | Imperial Red Circlet               |  53 |  0.04% |  0.01% |  0.03% | 24027
   8263 | Serpentskin Spaulders              |  53 |  0.04% |  0.01% |  0.03% | 24027
  10060 | Duskwoven Cape                     |  49 |  0.04% |  0.01% |  0.03% | 24045
  10074 | Righteous Leggings                 |  53 |  0.04% |  0.01% |  0.03% | 24027
  10173 | Mystical Bracers                   |  53 |  0.04% |  0.01% |  0.03% | 24027
   8112 | Hibernal Pants                     |  49 |  0.04% |  0.01% |  0.03% | 24045
   8282 | Valorous Shield                    |  51 |  0.04% |  0.01% |  0.03% | 24025
   9958 | Warmonger's Buckler                |  50 |  0.04% |  0.01% |  0.03% | 24025
   3940 | Crochet Gloves                     |  48 |  0.15% |  0.12% |  0.03% | 24036
   4005 | Overlinked Chain Pants             |  43 |  0.09% |  0.12% |  0.03% | 24036
   7557 | Gossamer Rod                       |  50 |  0.04% |  0.01% |  0.03% | 24025
   8256 | Serpentskin Boots                  |  52 |  0.04% |  0.01% |  0.03% | 24027
   8264 | Ebonhold Wristguards               |  52 |  0.04% |  0.01% |  0.03% | 24027
   8752 | Laminated Scale Circlet            |  54 |  0.08% |  0.11% |  0.03% | 24024
   9939 | Abjurer's Gloves                   |  49 |  0.04% |  0.01% |  0.03% | 24045
   3995 | Laminated Scale Cloak              |  57 |  0.08% |  0.11% |  0.03% | 24024
   8134 | Myrmidon's Defender                |  51 |  0.04% |  0.01% |  0.03% | 24025
  10197 | Crusader's Belt                    |  52 |  0.04% |  0.01% |  0.03% | 24027
  10205 | Overlord's Gauntlets               |  49 |  0.04% |  0.01% |  0.03% | 24045
   8280 | Valorous Legguards                 |  49 |  0.04% |  0.01% |  0.03% | 24045
  14470 | Pattern: Runecloth Tunic           |  52 |  0.01% |  0.04% |  0.03% | Direct
   4002 | Overlinked Chain Bracers           |  48 |  0.09% |  0.12% |  0.03% | 24036
  10064 | Duskwoven Pants                    |  53 |  0.04% |  0.01% |  0.03% | 24027
  10084 | Lord's Legguards                   |  52 |  0.04% |  0.01% |  0.03% | 24027
  10098 | Councillor's Cloak                 |  53 |  0.04% |  0.01% |  0.03% | 24027
  10133 | Revenant Leggings                  |  52 |  0.04% |  0.01% |  0.03% | 24027
  10203 | Overlord's Chestplate              |  52 |  0.04% |  0.01% |  0.03% | 24027
  10238 | Heavy Lamellar Boots               |  52 |  0.04% |  0.01% |  0.03% | 24027
  10242 | Heavy Lamellar Gauntlets           |  52 |  0.04% |  0.01% |  0.03% | 24027
   3944 | Twill Belt                         |  53 |  0.13% |  0.11% |  0.03% | 24024
   7537 | Gothic Shield                      |  49 |  0.03% |  0.01% |  0.03% | 24045
   3994 | Laminated Scale Bracers            |  58 |  0.08% |  0.11% |  0.02% | 24024
  17413 | Codex: Prayer of Fortitude         |  48 |  0.28% |  0.30% |  0.02% | Direct
