 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   3014 | Battleworn Axe                     |   1 | 14.22% | 70.00% | 55.77% | 14012
   2592 | Wool Cloth                         |  15 | 45.13% | 23.85% | 21.28% | Direct
   4306 | Silk Cloth                         |  30 |  8.79% |  4.89% |  3.91% | Direct
   3770 | Mutton Chop                        |  25 |  8.49% |  4.63% |  3.86% | Direct
   2589 | Linen Cloth                        |   5 |  9.61% | 12.93% |  3.32% | Direct
   1455 | Blackrock Champion's Axe           |  24 |  2.65% |  0.01% |  2.64% | 24064
   1205 | Melon Juice                        |  25 |  4.44% |  2.31% |  2.13% | Direct
    929 | Healing Potion                     |  22 |  2.65% |  1.46% |  1.19% | Direct
   3385 | Lesser Mana Potion                 |  24 |  1.35% |  0.73% |  0.63% | Direct
   2783 | Shoddy Blunderbuss                 |  22 |  0.58% |  0.13% |  0.45% | 24059
   1819 | Gouging Pick                       |  22 |  0.53% |  0.13% |  0.39% | 24059
   2782 | Mishandled Recurve Bow             |  24 |  0.52% |  0.13% |  0.39% | 24059
   1822 | Cedar Walking Stick                |  23 |  0.47% |  0.13% |  0.34% | 24059
   2765 | Hunting Knife                      |  23 |  0.47% |  0.13% |  0.34% | 24059
   1820 | Wooden Maul                        |  22 |  0.46% |  0.13% |  0.33% | 24059
   1821 | Warped Blade                       |  24 |  0.45% |  0.13% |  0.31% | 24059
   1824 | Shiny War Axe                      |  23 |  0.44% |  0.13% |  0.31% | 24059
   1818 | Standard Claymore                  |  24 |  0.44% |  0.13% |  0.30% | 24059
   1776 | Brocade Pants                      |  21 |  0.41% |  0.13% |  0.27% | 24059
   1823 | Bludgeoning Cudgel                 |  22 |  0.38% |  0.13% |  0.25% | 24059
   2220 | Box Shield                         |  23 |  0.37% |  0.13% |  0.24% | 24059
   1774 | Brocade Cloak                      |  24 |  0.37% |  0.13% |  0.24% | 24059
   3378 | Brocade Belt                       |  21 |  0.32% |  0.13% |  0.19% | 24059
   1778 | Brocade Vest                       |  23 |  0.31% |  0.13% |  0.17% | 24059
   2219 | Small Round Shield                 |  22 |  0.29% |  0.13% |  0.16% | 24059
   3379 | Brocade Bracers                    |  22 |  0.28% |  0.13% |  0.15% | 24059
   1753 | Linked Chain Vest                  |  22 |  0.28% |  0.13% |  0.14% | 24059
   1799 | Rawhide Gloves                     |  23 |  0.28% |  0.13% |  0.14% | 24059
   1800 | Rawhide Pants                      |  24 |  0.27% |  0.13% |  0.14% | 24059
   1797 | Rawhide Bracers                    |  21 |  0.26% |  0.13% |  0.13% | 24059
   9801 | Superior Belt                      |  25 |  0.14% |  0.01% |  0.13% | 24064
   1802 | Rawhide Tunic                      |  21 |  0.26% |  0.13% |  0.12% | 24059
   3066 | Bright Gloves                      |  24 |  0.14% |  0.01% |  0.12% | 24064
  15224 | Battlesmasher                      |  25 |  0.14% |  0.01% |  0.12% | 24064
  15269 | Massive Battle Axe                 |  24 |  0.14% |  0.01% |  0.12% | 24064
   1772 | Brocade Shoes                      |  23 |  0.25% |  0.13% |  0.12% | 24059
   1775 | Brocade Gloves                     |  25 |  0.25% |  0.13% |  0.12% | 24059
   1777 | Brocade Shoulderpads               |  22 |  0.25% |  0.13% |  0.12% | 24059
  15223 | Jagged Star                        |  24 |  0.13% |  0.01% |  0.12% | 24064
   1798 | Rawhide Cloak                      |  22 |  0.25% |  0.13% |  0.12% | 24059
   1796 | Rawhide Boots                      |  25 |  0.24% |  0.13% |  0.11% | 24059
   1749 | Linked Chain Cloak                 |  23 |  0.23% |  0.13% |  0.10% | 24059
   3740 | Decapitating Sword                 |  24 |  0.11% |  0.01% |  0.10% | 24064
