 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
  12203 | Red Wolf Meat                      |  30 | 39.30% | 44.38% |  5.08% | Direct
  12037 | Mystery Meat                       |  30 | 39.82% | 43.77% |  3.95% | Direct
   4583 | Thick Furry Mane                   |   1 | 23.96% | 27.46% |  3.50% | Direct
  12208 | Tender Wolf Meat                   |  40 | 33.91% | 37.10% |  3.19% | Direct
   4584 | Large Trophy Paw                   |   1 | 10.63% | 11.88% |  1.25% | Direct
   8146 | Wicked Claw                        |  45 |  2.98% |  3.37% |  0.39% | Direct
   8623 | OOX-17/TN Distress Beacon          |  43 |  0.21% |  0.30% |  0.09% | Direct
   1718 | Basilisk Hide Pants                |  43 |  0.00% |  0.06% |  0.05% | 24040
   2802 | Blazing Emblem                     |  43 |  0.00% |  0.06% |  0.05% | 24040
  13064 | Jaina's Firestarter                |  42 |  0.00% |  0.06% |  0.05% | 24040
   1720 | Tanglewood Staff                   |  46 |  0.00% |  0.05% |  0.05% | 24044
  13128 | High Bergg Helm                    |  47 |  0.00% |  0.05% |  0.05% | 24044
   8029 | Plans: Wicked Mithril Blade        |  45 |  0.00% |  0.05% |  0.05% | Direct
   3187 | Sacrificial Kris                   |  44 |  0.05% |  0.01% |  0.04% | 24041
  13026 | Heaven's Light                     |  45 |  0.00% |  0.04% |  0.04% | 24042
  13100 | Furen's Boots                      |  44 |  0.00% |  0.04% |  0.04% | 24042
  13095 | Assault Band                       |  44 |  0.00% |  0.04% |  0.04% | 24042
  13115 | Sheepshear Mantle                  |  45 |  0.00% |  0.04% |  0.04% | 24042
   2815 | Curve-bladed Ripper                |  45 |  0.01% |  0.04% |  0.04% | 24042
  13058 | Khoo's Point                       |  44 |  0.01% |  0.04% |  0.04% | 24042
  13071 | Plated Fist of Hakoo               |  45 |  0.01% |  0.04% |  0.03% | 24042
   3430 | Sniper Rifle                       |  44 |  0.04% |  0.01% |  0.03% | 24041
   1613 | Spiritchaser Staff                 |  44 |  0.03% |  0.01% |  0.03% | 24041
