 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
    829 | Red Leather Bandana                |   1 |  9.70% | 80.00% | 70.30% | Direct
   2589 | Linen Cloth                        |   5 | 66.31% | 38.33% | 27.98% | Direct
    414 | Dalaran Sharp                      |  15 |  7.95% |  4.82% |  3.13% | Direct
   1179 | Ice Cold Milk                      |  15 |  3.92% |  2.23% |  1.70% | Direct
   7997 | Red Defias Mask                    |  15 |  3.31% |  1.98% |  1.34% | Direct
    858 | Lesser Healing Potion              |  13 |  2.49% |  1.41% |  1.08% | Direct
   1512 | Crude Battle Axe                   |  12 |  0.79% |  0.15% |  0.64% | 24071
   1511 | Commoner's Sword                   |  13 |  0.71% |  0.15% |  0.56% | 24071
   2763 | Fisherman Knife                    |  14 |  0.70% |  0.15% |  0.56% | 24071
   1516 | Worn Hatchet                       |  14 |  0.70% |  0.15% |  0.55% | 24071
   1510 | Heavy Hammer                       |  12 |  0.69% |  0.15% |  0.54% | 24071
   2778 | Cheap Blunderbuss                  |  13 |  0.69% |  0.15% |  0.54% | 24071
   2455 | Minor Mana Potion                  |  15 |  1.18% |  0.67% |  0.51% | Direct
   2777 | Feeble Shortbow                    |  13 |  0.63% |  0.15% |  0.49% | 24071
   1514 | Rusty Warhammer                    |  14 |  0.63% |  0.15% |  0.48% | 24071
   1515 | Rough Wooden Staff                 |  12 |  0.61% |  0.15% |  0.46% | 24071
   1513 | Old Greatsword                     |  14 |  0.59% |  0.15% |  0.44% | 24071
   1495 | Calico Shoes                       |  13 |  0.53% |  0.15% |  0.38% | 24071
   1499 | Calico Pants                       |  11 |  0.52% |  0.15% |  0.38% | 24071
   1497 | Calico Cloak                       |  14 |  0.52% |  0.15% |  0.37% | 24071
   1501 | Calico Tunic                       |  13 |  0.51% |  0.15% |  0.37% | 24071
   3374 | Calico Belt                        |  14 |  0.51% |  0.15% |  0.36% | 24071
   2215 | Wooden Shield                      |  11 |  0.48% |  0.15% |  0.33% | 24071
   3375 | Calico Bracers                     |  12 |  0.48% |  0.15% |  0.33% | 24071
   1498 | Calico Gloves                      |  15 |  0.47% |  0.15% |  0.32% | 24071
   1509 | Warped Leather Vest                |  11 |  0.46% |  0.15% |  0.31% | 24071
   1507 | Warped Leather Pants               |  14 |  0.44% |  0.15% |  0.30% | 24071
   2632 | Curved Dagger                      |  14 |  0.31% |  0.02% |  0.29% | 24076
   1503 | Warped Leather Boots               |  15 |  0.43% |  0.15% |  0.28% | 24071
   2214 | Wooden Buckler                     |  15 |  0.43% |  0.15% |  0.28% | 24071
   1502 | Warped Leather Belt                |  14 |  0.42% |  0.15% |  0.27% | 24071
   1506 | Warped Leather Gloves              |  13 |  0.41% |  0.15% |  0.26% | 24071
   1504 | Warped Leather Bracers             |  11 |  0.40% |  0.15% |  0.25% | 24071
   1210 | Shadowgem                          |  20 |  0.26% |  0.01% |  0.24% | 24064
   4569 | Staunch Hammer                     |  14 |  0.24% |  0.02% |  0.22% | 24076
   2073 | Dwarven Hatchet                    |  15 |  0.24% |  0.02% |  0.22% | 24076
   1505 | Warped Cloak                       |  12 |  0.36% |  0.15% |  0.21% | 24071
   1735 | Worn Mail Pants                    |  12 |  0.36% |  0.15% |  0.21% | 24071
   4570 | Birchwood Maul                     |  15 |  0.23% |  0.02% |  0.21% | 24076
   1733 | Worn Cloak                         |  15 |  0.35% |  0.15% |  0.21% | 24071
   1731 | Worn Mail Boots                    |  13 |  0.35% |  0.15% |  0.20% | 24071
   3036 | Heavy Shortbow                     |  15 |  0.22% |  0.02% |  0.20% | 24076
   1732 | Worn Mail Bracers                  |  14 |  0.34% |  0.15% |  0.20% | 24071
   1737 | Worn Mail Vest                     |  14 |  0.34% |  0.15% |  0.19% | 24071
   5071 | Shadow Wand                        |  14 |  0.21% |  0.02% |  0.19% | 24076
   1734 | Worn Mail Gloves                   |  11 |  0.34% |  0.15% |  0.19% | 24071
   6543 | Willow Bracers                     |  15 |  0.21% |  0.02% |  0.19% | 24076
   1730 | Worn Mail Belt                     |  12 |  0.33% |  0.15% |  0.19% | 24071
   9747 | Simple Britches                    |  14 |  0.20% |  0.02% |  0.18% | 24076
   6537 | Willow Boots                       |  15 |  0.19% |  0.02% |  0.17% | 24076
   6542 | Willow Cape                        |  15 |  0.18% |  0.02% |  0.17% | 24076
   6558 | Bard's Belt                        |  15 |  0.18% |  0.02% |  0.16% | 24076
