 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   6257 | Roc Gizzard                        |   1 | 11.93% | 80.00% | 68.07% | Direct
   3404 | Buzzard Wing                       |  35 | 38.46% | 43.11% |  4.65% | Direct
   1464 | Buzzard Talon                      |   1 | 40.46% | 44.67% |  4.21% | Direct
  12207 | Giant Egg                          |  45 | 32.63% | 36.04% |  3.40% | Direct
   5829 | Razor-sharp Beak                   |   1 | 19.87% | 23.12% |  3.25% | Direct
  11418 | Hollow Wing Bone                   |   1 | 19.67% | 22.10% |  2.42% | Direct
  11417 | Feathery Wing                      |   1 |  4.77% |  5.66% |  0.89% | Direct
   5117 | Vibrant Plume                      |   1 |  4.85% |  5.23% |  0.38% | Direct
   8146 | Wicked Claw                        |  45 |  3.05% |  3.17% |  0.12% | Direct
   8623 | OOX-17/TN Distress Beacon          |  43 |  0.29% |  0.40% |  0.11% | Direct
   7910 | Star Ruby                          |  50 |  0.02% |  0.08% |  0.06% | Direct
   1714 | Necklace of Calisea                |  43 |  0.00% |  0.06% |  0.05% | 24040
   2802 | Blazing Emblem                     |  43 |  0.01% |  0.06% |  0.05% | 24040
  13082 | Mountainside Buckler               |  46 |  0.00% |  0.05% |  0.05% | 24044
  13128 | High Bergg Helm                    |  47 |  0.00% |  0.05% |  0.05% | 24044
   4090 | Mug O' Hurt                        |  46 |  0.01% |  0.05% |  0.04% | 24044
   4637 | Steel Lockbox                      |  40 |  0.09% |  0.04% |  0.04% | Direct
   1715 | Polished Jazeraint Armor           |  44 |  0.00% |  0.04% |  0.04% | 24042
  13115 | Sheepshear Mantle                  |  45 |  0.00% |  0.04% |  0.04% | 24042
  13095 | Assault Band                       |  44 |  0.01% |  0.04% |  0.04% | 24042
   5216 | Umbral Wand                        |  45 |  0.04% |  0.01% |  0.04% | 24041
   1613 | Spiritchaser Staff                 |  44 |  0.04% |  0.01% |  0.03% | 24041
   3187 | Sacrificial Kris                   |  44 |  0.04% |  0.01% |  0.03% | 24041
   3430 | Sniper Rifle                       |  44 |  0.04% |  0.01% |  0.03% | 24041
   3864 | Citrine                            |  40 |  0.03% |  0.01% |  0.03% | 24041
   8196 | Ebon Scimitar                      |  43 |  0.04% |  0.01% |  0.03% | 24039
  14825 | Symbolic Crest                     |  43 |  0.04% |  0.01% |  0.03% | 24039
   2825 | Bow of Searing Arrows              |  42 |  0.00% |  0.03% |  0.02% | 24080
  15370 | Wolf Rider's Boots                 |  44 |  0.03% |  0.01% |  0.02% | 24041
  14261 | Bloodwoven Cloak                   |  43 |  0.03% |  0.01% |  0.02% | 24039
    868 | Ardent Custodian                   |  43 |  0.01% |  0.03% |  0.02% | 24080
  14252 | Lunar Coronet                      |  45 |  0.03% |  0.01% |  0.02% | 24041
  14260 | Bloodwoven Bracers                 |  44 |  0.03% |  0.01% |  0.02% | 24041
  14549 | Boots of Avoidance                 |  45 |  0.01% |  0.03% |  0.02% | 24081
  14833 | Tyrant's Gauntlets                 |  44 |  0.03% |  0.01% |  0.02% | 24041
   3868 | Plans: Frost Tiger Blade           |  40 |  0.00% |  0.02% |  0.02% | Direct
   4416 | Schematic: Goblin Land Mine        |  39 |  0.00% |  0.02% |  0.02% | Direct
   7975 | Plans: Heavy Mithril Pants         |  42 |  0.00% |  0.02% |  0.02% | Direct
   8385 | Pattern: Turtle Scale Gloves       |  41 |  0.00% |  0.02% |  0.02% | Direct
   8387 | Pattern: Big Voodoo Mask           |  44 |  0.00% |  0.02% |  0.02% | Direct
   9298 | Recipe: Elixir of Giants           |  49 |  0.00% |  0.02% |  0.02% | Direct
  10603 | Schematic: Catseye Ultra Goggles   |  44 |  0.00% |  0.02% |  0.02% | Direct
  11208 | Formula: Enchant Weapon - Demonslay|  46 |  0.00% |  0.02% |  0.02% | Direct
  11987 | Iridium Circle                     |  43 |  0.03% |  0.01% |  0.02% | 24039
   1982 | Nightblade                         |  44 |  0.01% |  0.03% |  0.02% | 24081
  14246 | Darkmist Wizard Hat                |  44 |  0.02% |  0.01% |  0.02% | 24041
  14436 | Windchaser Coronet                 |  46 |  0.03% |  0.01% |  0.02% | 24043
  14601 | Warden's Wraps                     |  44 |  0.02% |  0.01% |  0.02% | 24041
  14768 | Ravager's Armor                    |  44 |  0.02% |  0.01% |  0.02% | 24041
  15612 | Bonelink Gauntlets                 |  44 |  0.02% |  0.01% |  0.02% | 24041
   7909 | Aquamarine                         |  45 |  0.06% |  0.07% |  0.01% | Direct
  14243 | Darkmist Mantle                    |  43 |  0.03% |  0.01% |  0.01% | 24039
  15251 | Headstriker Sword                  |  43 |  0.03% |  0.01% |  0.01% | 24039
   7989 | Plans: Mithril Spurs               |  47 |  0.01% |  0.02% |  0.01% | Direct
  10604 | Schematic: Mithril Heavy-bore Rifle|  44 |  0.01% |  0.02% |  0.01% | Direct
  11204 | Formula: Enchant Bracer - Greater S|  44 |  0.01% |  0.02% |  0.01% | Direct
  14258 | Bloodwoven Cord                    |  45 |  0.02% |  0.01% |  0.01% | 24041
  14262 | Bloodwoven Mitts                   |  45 |  0.02% |  0.01% |  0.01% | 24041
  15215 | Furious Falchion                   |  45 |  0.02% |  0.01% |  0.01% | 24041
  15287 | Crusader Bow                       |  45 |  0.02% |  0.01% |  0.01% | 24041
  15617 | Bonelink Epaulets                  |  45 |  0.02% |  0.01% |  0.01% | 24041
   3831 | Recipe: Mighty Troll's Blood Potion|  36 |  0.01% |  0.02% |  0.01% | Direct
   7085 | Pattern: Azure Shoulders           |  38 |  0.01% |  0.02% |  0.01% | Direct
  10301 | Pattern: White Bandit Mask         |  43 |  0.01% |  0.02% |  0.01% | Direct
   1640 | Monstrous War Axe                  |  42 |  0.02% |  0.01% |  0.01% | 24039
  15372 | Wolf Rider's Gloves                |  43 |  0.02% |  0.01% |  0.01% | 24039
  15377 | Wolf Rider's Wristbands            |  42 |  0.02% |  0.01% |  0.01% | 24039
  15374 | Wolf Rider's Leggings              |  44 |  0.02% |  0.01% |  0.01% | 24041
  15607 | Ancient Legguards                  |  44 |  0.02% |  0.01% |  0.01% | 24041
