 Found in both:
Item ID | Item Name                         | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   4306 | Silk Cloth                        |  30 | 61.82% | 29.28% | 32.54% | Direct
   4607 | Delicious Cave Mold               |  35 |  9.61% |  4.94% |  4.67% | Direct
   2592 | Wool Cloth                        |  15 |  8.41% |  4.38% |  4.03% | Direct
   1708 | Sweet Nectar                      |  35 |  5.48% |  2.17% |  3.31% | Direct
   1710 | Greater Healing Potion            |  31 |  2.82% |  1.49% |  1.33% | Direct
   3827 | Mana Potion                       |  32 |  1.73% |  0.72% |  1.00% | Direct
   4338 | Mageweave Cloth                   |  40 |  1.97% |  1.08% |  0.88% | Direct
   3778 | Taut Compound Bow                 |  31 |  0.46% |  0.12% |  0.33% | 24058
   1725 | Large Knapsack                    |  35 |  0.33% |  0.03% |  0.30% | 24056
   3783 | Light Scimitar                    |  36 |  0.41% |  0.13% |  0.29% | 24047
   3781 | Broad Claymore                    |  34 |  0.39% |  0.13% |  0.27% | 24047
   3786 | Shiny Dirk                        |  39 |  0.37% |  0.13% |  0.24% | 24047
   3782 | Large War Club                    |  35 |  0.35% |  0.13% |  0.22% | 24047
   3798 | Interlaced Shoulderpads           |  35 |  0.33% |  0.13% |  0.20% | 24047
   4634 | Iron Lockbox                      |  30 |  0.26% |  0.08% |  0.18% | Direct
   3787 | Stone Club                        |  40 |  0.31% |  0.13% |  0.18% | 24047
   7418 | Phalanx Breastplate               |  35 |  0.17% |  0.01% |  0.16% | 24052
   3785 | Keen Axe                          |  38 |  0.28% |  0.13% |  0.16% | 24047
   3797 | Interlaced Pants                  |  39 |  0.28% |  0.13% |  0.16% | 24047
   4052 | Insignia Cap                      |  35 |  0.15% |  0.01% |  0.14% | 24052
   3780 | Long-barreled Musket              |  33 |  0.26% |  0.13% |  0.13% | 24047
   7438 | Twilight Belt                     |  36 |  0.13% |  0.01% |  0.12% | 24054
   2080 | Hillborne Axe                     |  34 |  0.13% |  0.01% |  0.12% | 24052
   4040 | Nightsky Gloves                   |  34 |  0.13% |  0.01% |  0.12% | 24052
   7368 | Elder's Pants                     |  34 |  0.13% |  0.01% |  0.12% | 24052
   9819 | Durable Tunic                     |  34 |  0.13% |  0.01% |  0.12% | 24052
   3784 | Metal Stave                       |  37 |  0.24% |  0.13% |  0.11% | 24047
   3799 | Interlaced Vest                   |  37 |  0.24% |  0.13% |  0.11% | 24047
   7111 | Nightsky Armor                    |  37 |  0.11% |  0.01% |  0.10% | 24054
   6406 | Nightsky Boots                    |  34 |  0.11% |  0.01% |  0.10% | 24052
   7407 | Infiltrator Armor                 |  35 |  0.11% |  0.01% |  0.10% | 24052
  15286 | Long Redwood Bow                  |  35 |  0.11% |  0.01% |  0.10% | 24052
   3779 | Hefty War Axe                     |  32 |  0.22% |  0.13% |  0.09% | 24047
   3805 | Hardened Leather Pants            |  32 |  0.22% |  0.13% |  0.09% | 24047
   7461 | Knight's Bracers                  |  36 |  0.09% |  0.01% |  0.08% | 24054
  15213 | Mercenary Blade                   |  36 |  0.09% |  0.01% |  0.08% | 24054
  15243 | Deadly Kris                       |  36 |  0.09% |  0.01% |  0.08% | 24054
   4721 | Insignia Mantle                   |  35 |  0.09% |  0.01% |  0.08% | 24052
   1705 | Lesser Moonstone                  |  30 |  0.07% |  0.14% |  0.07% | 24052
   3792 | Interlaced Belt                   |  34 |  0.20% |  0.13% |  0.07% | 24047
   3801 | Hardened Leather Boots            |  35 |  0.20% |  0.13% |  0.07% | 24047
   3807 | Hardened Leather Tunic            |  33 |  0.20% |  0.13% |  0.07% | 24047
   3802 | Hardened Leather Bracers          |  34 |  0.07% |  0.13% |  0.06% | 24047
   3864 | Citrine                           |  40 |  0.02% |  0.08% |  0.06% | Direct
    864 | Knightly Longsword                |  38 |  0.07% |  0.01% |  0.06% | 24056
   7433 | Twilight Gloves                   |  37 |  0.07% |  0.01% |  0.06% | 24054
   7437 | Twilight Cuffs                    |  36 |  0.07% |  0.01% |  0.06% | 24054
   3037 | Whipwood Recurve Bow              |  34 |  0.07% |  0.01% |  0.06% | 24052
   5213 | Scorching Wand                    |  35 |  0.07% |  0.01% |  0.06% | 24052
   7436 | Twilight Cape                     |  35 |  0.07% |  0.01% |  0.06% | 24052
   9845 | Conjurer's Shoes                  |  35 |  0.07% |  0.01% |  0.06% | 24052
   9846 | Conjurer's Bracers                |  35 |  0.07% |  0.01% |  0.06% | 24052
   3803 | Hardened Cloak                    |  38 |  0.17% |  0.13% |  0.05% | 24047
   3806 | Hardened Leather Shoulderpads     |  37 |  0.17% |  0.13% |  0.05% | 24047
   3813 | Double Mail Pants                 |  35 |  0.17% |  0.13% |  0.05% | 24047
   3816 | Reflective Heater                 |  36 |  0.17% |  0.13% |  0.05% | 24047
   1529 | Jade                              |  35 |  0.09% |  0.13% |  0.04% | 24047
   3808 | Double Mail Belt                  |  34 |  0.09% |  0.13% |  0.04% | 24047
   3812 | Double Mail Gloves                |  36 |  0.09% |  0.13% |  0.04% | 24047
   3817 | Reinforced Buckler                |  33 |  0.09% |  0.13% |  0.04% | 24047
   1990 | Ballast Maul                      |  36 |  0.04% |  0.01% |  0.03% | 24054
   4065 | Combat Shield                     |  36 |  0.04% |  0.01% |  0.03% | 24054
   4074 | Mail Combat Armor                 |  36 |  0.04% |  0.01% |  0.03% | 24054
   5009 | Mindbender Loop                   |  36 |  0.04% |  0.01% |  0.03% | 24054
   7432 | Twilight Cowl                     |  38 |  0.04% |  0.01% |  0.03% | 24056
   7447 | Sentinel Bracers                  |  36 |  0.04% |  0.01% |  0.03% | 24054
   9856 | Archer's Boots                    |  36 |  0.04% |  0.01% |  0.03% | 24054
   3185 | Acrobatic Staff                   |  34 |  0.04% |  0.01% |  0.03% | 24052
   3197 | Stonecutter Claymore              |  35 |  0.04% |  0.01% |  0.03% | 24052
   4718 | Nightsky Mantle                   |  35 |  0.04% |  0.01% |  0.03% | 24052
   6408 | Insignia Gloves                   |  34 |  0.04% |  0.01% |  0.03% | 24052
   7353 | Elder's Padded Armor              |  35 |  0.04% |  0.01% |  0.03% | 24052
   7423 | Phalanx Leggings                  |  34 |  0.04% |  0.01% |  0.03% | 24052
   9865 | Renegade Bracers                  |  34 |  0.04% |  0.01% |  0.03% | 24052
  12029 | Greenstone Talisman               |  35 |  0.04% |  0.01% |  0.03% | 24052
   2877 | Combatant Claymore                |  33 |  0.02% |  0.05% |  0.03% | 24051
   9385 | Archaic Defender                  |  36 |  0.02% |  0.05% |  0.03% | 24055
  13045 | Viscous Hammer                    |  35 |  0.02% |  0.05% |  0.03% | 24053
