 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   4306 | Silk Cloth                         |  30 | 54.04% | 24.82% | 29.22% | Direct
   2592 | Wool Cloth                         |  15 | 21.39% | 10.23% | 11.16% | Direct
   3770 | Mutton Chop                        |  25 |  9.82% |  4.55% |  5.26% | Direct
   1205 | Melon Juice                        |  25 |  5.16% |  2.36% |  2.80% | Direct
    929 | Healing Potion                     |  22 |  3.06% |  1.56% |  1.50% | Direct
   3385 | Lesser Mana Potion                 |  24 |  1.69% |  0.77% |  0.92% | Direct
   1712 | Scroll of Spirit II                |  25 |  0.67% |  0.48% |  0.19% | Direct
   1819 | Gouging Pick                       |  22 |  0.32% |  0.13% |  0.19% | 24059
   1823 | Bludgeoning Cudgel                 |  22 |  0.28% |  0.13% |  0.15% | 24059
   2782 | Mishandled Recurve Bow             |  24 |  0.28% |  0.13% |  0.15% | 24059
   1830 | Long Bastard Sword                 |  28 |  0.26% |  0.12% |  0.14% | 24058
   1818 | Standard Claymore                  |  24 |  0.27% |  0.13% |  0.14% | 24059
   2783 | Shoddy Blunderbuss                 |  22 |  0.26% |  0.13% |  0.13% | 24059
   2785 | Stiff Recurve Bow                  |  28 |  0.24% |  0.12% |  0.11% | 24058
  15122 | Robust Bracers                     |  25 |  0.12% |  0.01% |  0.11% | 24064
   1821 | Warped Blade                       |  24 |  0.24% |  0.13% |  0.10% | 24059
  14179 | Watcher's Cape                     |  24 |  0.12% |  0.01% |  0.10% | 24064
  15515 | Spiked Chain Belt                  |  25 |  0.12% |  0.01% |  0.10% | 24064
   1774 | Brocade Cloak                      |  24 |  0.23% |  0.13% |  0.10% | 24059
   1826 | Rock Maul                          |  27 |  0.22% |  0.12% |  0.10% | 24058
   1828 | Stone War Axe                      |  27 |  0.22% |  0.12% |  0.10% | 24058
   8186 | Dire Wand                          |  26 |  0.10% |  0.01% |  0.10% | 24066
  15241 | Battle Knife                       |  26 |  0.10% |  0.01% |  0.10% | 24066
  15249 | Polished Zweihander                |  26 |  0.10% |  0.01% |  0.10% | 24066
   4633 | Heavy Bronze Lockbox               |  25 |  0.12% |  0.04% |  0.09% | Direct
   9771 | Greenweave Gloves                  |  25 |  0.10% |  0.01% |  0.09% | 24064
  15230 | Ridge Cleaver                      |  25 |  0.10% |  0.01% |  0.09% | 24064
   3378 | Brocade Belt                       |  21 |  0.22% |  0.13% |  0.08% | 24059
  14165 | Pagan Britches                     |  25 |  0.10% |  0.01% |  0.08% | 24064
  15224 | Battlesmasher                      |  25 |  0.10% |  0.01% |  0.08% | 24064
  15259 | Hefty Battlehammer                 |  25 |  0.10% |  0.01% |  0.08% | 24064
   1831 | Oaken War Staff                    |  28 |  0.21% |  0.12% |  0.08% | 24058
   1210 | Shadowgem                          |  20 |  0.07% |  0.15% |  0.08% | 24064
   1824 | Shiny War Axe                      |  23 |  0.21% |  0.13% |  0.07% | 24059
  10287 | Greenweave Mantle                  |  26 |  0.08% |  0.01% |  0.07% | 24066
   1478 | Scroll of Protection II            |  25 |  0.61% |  0.54% |  0.07% | Direct
   1705 | Lesser Moonstone                   |  30 |  0.14% |  0.06% |  0.07% | Direct
   3740 | Decapitating Sword                 |  24 |  0.08% |  0.01% |  0.07% | 24064
  12007 | Prairie Ring                       |  25 |  0.08% |  0.01% |  0.07% | 24064
  15513 | Grunt's Pauldrons                  |  25 |  0.08% |  0.01% |  0.07% | 24064
   2786 | Oiled Blunderbuss                  |  29 |  0.19% |  0.12% |  0.07% | 24058
  14377 | Sanguine Handwraps                 |  26 |  0.07% |  0.01% |  0.07% | 24066
  15120 | Robust Girdle                      |  26 |  0.07% |  0.01% |  0.07% | 24066
   1772 | Brocade Shoes                      |  23 |  0.20% |  0.13% |  0.07% | 24059
   1820 | Wooden Maul                        |  22 |  0.20% |  0.13% |  0.07% | 24059
   2765 | Hunting Knife                      |  23 |  0.20% |  0.13% |  0.07% | 24059
   1825 | Bulky Bludgeon                     |  28 |  0.19% |  0.12% |  0.06% | 24058
  15330 | Wrangler's Boots                   |  25 |  0.08% |  0.01% |  0.06% | 24064
  14574 | Bristlebark Britches               |  26 |  0.07% |  0.01% |  0.06% | 24066
  14749 | Hulking Spaulders                  |  26 |  0.07% |  0.01% |  0.06% | 24066
  15532 | Sentry's Armsplints                |  26 |  0.07% |  0.01% |  0.06% | 24066
   2290 | Scroll of Intellect II             |  30 |  0.38% |  0.32% |  0.06% | Direct
   1822 | Cedar Walking Stick                |  23 |  0.19% |  0.13% |  0.06% | 24059
   2766 | Deft Stiletto                      |  29 |  0.19% |  0.12% |  0.06% | 24058
  15517 | Spiked Chain Wristbands            |  25 |  0.07% |  0.01% |  0.06% | 24064
  14176 | Watcher's Boots                    |  26 |  0.06% |  0.01% |  0.06% | 24066
