 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   2589 | Linen Cloth                        |   5 | 72.26% | 39.09% | 33.17% | Direct
   2287 | Haunch of Meat                     |  15 |  8.74% |  5.13% |  3.60% | Direct
   1179 | Ice Cold Milk                      |  15 |  4.75% |  2.35% |  2.40% | Direct
    858 | Lesser Healing Potion              |  13 |  2.87% |  1.76% |  1.11% | Direct
   2763 | Fisherman Knife                    |  14 |  0.96% |  0.15% |  0.81% | 24071
   2777 | Feeble Shortbow                    |  13 |  0.94% |  0.15% |  0.79% | 24071
   2778 | Cheap Blunderbuss                  |  13 |  0.79% |  0.15% |  0.64% | 24071
   1512 | Crude Battle Axe                   |  12 |  0.71% |  0.15% |  0.56% | 24071
   1514 | Rusty Warhammer                    |  14 |  0.71% |  0.15% |  0.56% | 24071
   2455 | Minor Mana Potion                  |  15 |  1.44% |  0.88% |  0.56% | Direct
   1498 | Calico Gloves                      |  15 |  0.69% |  0.15% |  0.54% | 24071
   3375 | Calico Bracers                     |  12 |  0.63% |  0.15% |  0.48% | 24071
   1510 | Heavy Hammer                       |  12 |  0.61% |  0.15% |  0.47% | 24071
   1515 | Rough Wooden Staff                 |  12 |  0.61% |  0.15% |  0.47% | 24071
   1516 | Worn Hatchet                       |  14 |  0.61% |  0.15% |  0.47% | 24071
   1497 | Calico Cloak                       |  14 |  0.56% |  0.15% |  0.41% | 24071
   1511 | Commoner's Sword                   |  13 |  0.56% |  0.15% |  0.41% | 24071
   1513 | Old Greatsword                     |  14 |  0.56% |  0.15% |  0.41% | 24071
   1502 | Warped Leather Belt                |  14 |  0.54% |  0.15% |  0.39% | 24071
   3192 | Short Bastard Sword                |  12 |  0.42% |  0.04% |  0.38% | 24075
   1495 | Calico Shoes                       |  13 |  0.52% |  0.15% |  0.37% | 24071
   1505 | Warped Cloak                       |  12 |  0.52% |  0.15% |  0.37% | 24071
   2215 | Wooden Shield                      |  11 |  0.52% |  0.15% |  0.37% | 24071
   1499 | Calico Pants                       |  11 |  0.50% |  0.15% |  0.35% | 24071
   1509 | Warped Leather Vest                |  11 |  0.50% |  0.15% |  0.35% | 24071
   2214 | Wooden Buckler                     |  15 |  0.50% |  0.15% |  0.35% | 24071
   3374 | Calico Belt                        |  14 |  0.48% |  0.15% |  0.33% | 24071
   1506 | Warped Leather Gloves              |  13 |  0.46% |  0.15% |  0.31% | 24071
   1731 | Worn Mail Boots                    |  13 |  0.46% |  0.15% |  0.31% | 24071
   1733 | Worn Cloak                         |  15 |  0.46% |  0.15% |  0.31% | 24071
   1507 | Warped Leather Pants               |  14 |  0.44% |  0.15% |  0.29% | 24071
   2075 | Priest's Mace                      |  12 |  0.33% |  0.04% |  0.29% | 24075
   1501 | Calico Tunic                       |  13 |  0.42% |  0.15% |  0.27% | 24071
   1734 | Worn Mail Gloves                   |  11 |  0.42% |  0.15% |  0.27% | 24071
   1737 | Worn Mail Vest                     |  14 |  0.42% |  0.15% |  0.27% | 24071
