 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   4306 | Silk Cloth                         |  30 | 56.66% | 30.00% | 26.66% | Direct
   1707 | Stormwind Brie                     |  35 |  8.46% |  4.28% |  4.19% | Direct
   2592 | Wool Cloth                         |  15 |  7.58% |  3.90% |  3.69% | Direct
   1708 | Sweet Nectar                       |  35 |  4.24% |  2.31% |  1.93% | Direct
   1710 | Greater Healing Potion             |  31 |  2.75% |  1.55% |  1.21% | Direct
   3827 | Mana Potion                        |  32 |  1.44% |  0.62% |  0.82% | Direct
   2749 | Green Hills of Stranglethorn - Page|   1 |  1.47% |  0.73% |  0.74% | Direct
   2735 | Green Hills of Stranglethorn - Page|   1 |  1.28% |  0.56% |  0.72% | Direct
   2751 | Green Hills of Stranglethorn - Page|   1 |  1.40% |  0.69% |  0.71% | Direct
   4338 | Mageweave Cloth                    |  40 |  1.72% |  1.04% |  0.68% | Direct
   2742 | Green Hills of Stranglethorn - Page|   1 |  1.30% |  0.63% |  0.67% | Direct
   2744 | Green Hills of Stranglethorn - Page|   1 |  1.30% |  0.67% |  0.63% | Direct
   2745 | Green Hills of Stranglethorn - Page|   1 |  1.29% |  0.66% |  0.63% | Direct
   2728 | Green Hills of Stranglethorn - Page|   1 |  1.23% |  0.62% |  0.62% | Direct
   2750 | Green Hills of Stranglethorn - Page|   1 |  1.30% |  0.71% |  0.59% | Direct
   2730 | Green Hills of Stranglethorn - Page|   1 |  1.31% |  0.75% |  0.57% | Direct
   2740 | Green Hills of Stranglethorn - Page|   1 |  1.27% |  0.71% |  0.57% | Direct
   2732 | Green Hills of Stranglethorn - Page|   1 |  1.27% |  0.75% |  0.52% | Direct
   2738 | Green Hills of Stranglethorn - Page|   1 |  1.17% |  0.67% |  0.50% | Direct
   2734 | Green Hills of Stranglethorn - Page|   1 |  1.22% |  0.76% |  0.46% | Direct
   2748 | Green Hills of Stranglethorn - Page|   1 |  1.29% |  0.84% |  0.45% | Direct
   2725 | Green Hills of Stranglethorn - Page|   1 |  1.13% |  0.80% |  0.33% | Direct
   5788 | Pattern: Thick Murloc Armor        |  34 |  2.54% |  2.22% |  0.32% | Direct
   3779 | Hefty War Axe                      |  32 |  0.33% |  0.13% |  0.20% | 24047
   3781 | Broad Claymore                     |  34 |  0.33% |  0.13% |  0.20% | 24047
   3783 | Light Scimitar                     |  36 |  0.33% |  0.13% |  0.20% | 24047
   3782 | Large War Club                     |  35 |  0.32% |  0.13% |  0.19% | 24047
   3780 | Long-barreled Musket               |  33 |  0.30% |  0.13% |  0.17% | 24047
   3784 | Metal Stave                        |  37 |  0.30% |  0.13% |  0.17% | 24047
   3778 | Taut Compound Bow                  |  31 |  0.28% |  0.12% |  0.16% | 24058
   3786 | Shiny Dirk                         |  39 |  0.28% |  0.13% |  0.15% | 24047
   3787 | Stone Club                         |  40 |  0.27% |  0.13% |  0.15% | 24047
   3797 | Interlaced Pants                   |  39 |  0.27% |  0.13% |  0.14% | 24047
   3785 | Keen Axe                           |  38 |  0.26% |  0.13% |  0.13% | 24047
   8746 | Interlaced Cowl                    |  33 |  0.25% |  0.13% |  0.12% | 24047
   3864 | Citrine                            |  40 |  0.13% |  0.01% |  0.12% | Direct
   3795 | Interlaced Cloak                   |  36 |  0.23% |  0.13% |  0.11% | 24047
   2080 | Hillborne Axe                      |  34 |  0.11% |  0.01% |  0.10% | 24052
   3185 | Acrobatic Staff                    |  34 |  0.11% |  0.01% |  0.10% | 24052
  15286 | Long Redwood Bow                   |  35 |  0.11% |  0.01% |  0.10% | 24052
   3197 | Stonecutter Claymore               |  35 |  0.10% |  0.01% |  0.09% | 24052
   3793 | Interlaced Boots                   |  32 |  0.21% |  0.13% |  0.08% | 24047
