 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   5794 | Salty Scorpid Venom                |   1 | 29.49% | 80.00% | 50.51% | Direct
  12037 | Mystery Meat                       |  30 | 34.30% | 45.73% | 11.43% | Direct
  19938 | Heavy Scorpid Leg                  |   1 | 16.40% | 22.43% |  6.03% | Direct
  19937 | Small Scorpid Claw                 |   1 | 10.88% | 15.49% |  4.61% | Direct
   1288 | Large Venom Sac                    |   1 | 11.22% | 15.40% |  4.18% | Direct
   4634 | Iron Lockbox                       |  30 |  0.12% |  0.19% |  0.07% | Direct
  13097 | Thunderbrow Ring                   |  29 |  0.00% |  0.06% |  0.06% | 24069
   9395 | Gloves of Old                      |  34 |  0.00% |  0.05% |  0.05% | 24053
   9405 | Girdle of Golem Strength           |  33 |  0.00% |  0.05% |  0.05% | 24051
  13063 | Starfaller                         |  34 |  0.00% |  0.05% |  0.05% | 24053
  13084 | Kaleidoscope Chain                 |  35 |  0.00% |  0.05% |  0.05% | 24053
  13137 | Ironweaver                         |  34 |  0.00% |  0.05% |  0.05% | 24053
  13108 | Tigerstrike Mantle                 |  34 |  0.00% |  0.05% |  0.05% | 24053
   2299 | Burning War Axe                    |  33 |  0.00% |  0.05% |  0.05% | 24051
  13019 | Harpyclaw Short Bow                |  32 |  0.00% |  0.05% |  0.05% | 24051
   2912 | Claw of the Shadowmancer           |  32 |  0.01% |  0.05% |  0.05% | 24051
  13033 | Zealot Blade                       |  34 |  0.01% |  0.05% |  0.05% | 24053
  13127 | Frostreaver Crown                  |  32 |  0.01% |  0.05% |  0.05% | 24051
  13049 | Deanship Claymore                  |  29 |  0.00% |  0.04% |  0.04% | 24049
  13079 | Shield of Thorsen                  |  30 |  0.00% |  0.04% |  0.04% | 24049
  12974 | The Black Knight                   |  31 |  0.00% |  0.04% |  0.04% | 24049
  13114 | Troll's Bane Leggings              |  30 |  0.00% |  0.04% |  0.04% | 24049
   2721 | Holy Shroud                        |  32 |  0.01% |  0.05% |  0.04% | 24051
   1717 | Double Link Tunic                  |  30 |  0.01% |  0.04% |  0.04% | 24049
   2278 | Forest Tracker Epaulets            |  31 |  0.01% |  0.04% |  0.04% | 24049
  13048 | Looming Gavel                      |  31 |  0.01% |  0.04% |  0.04% | 24049
  13106 | Glowing Magical Bracelets          |  31 |  0.01% |  0.04% |  0.04% | 24049
    791 | Gnarled Ash Staff                  |  31 |  0.01% |  0.04% |  0.04% | 24049
  13037 | Crystalpine Stinger                |  32 |  0.01% |  0.05% |  0.04% | 24051
   5214 | Wand of Eventide                   |  32 |  0.04% |  0.01% |  0.03% | 24050
  15250 | Glimmering Flamberge               |  32 |  0.04% |  0.01% |  0.03% | 24050
   3185 | Acrobatic Staff                    |  34 |  0.04% |  0.01% |  0.03% | 24052
   1529 | Jade                               |  35 |  0.10% |  0.12% |  0.02% | Direct
   3832 | Recipe: Elixir of Detect Lesser Inv|  39 |  0.00% |  0.02% |  0.02% | Direct
   4297 | Pattern: Barbaric Gloves           |  30 |  0.00% |  0.02% |  0.02% | Direct
   4350 | Pattern: Spider Silk Slippers      |  28 |  0.00% |  0.02% |  0.02% | Direct
   4417 | Schematic: Large Seaforium Charge  |  40 |  0.00% |  0.02% |  0.02% | Direct
   6211 | Recipe: Elixir of Ogre's Strength  |  30 |  0.00% |  0.02% |  0.02% | Direct
   6454 | Manual: Strong Anti-Venom          |  26 |  0.00% |  0.02% |  0.02% | Direct
   7453 | Pattern: Swift Boots               |  40 |  0.00% |  0.02% |  0.02% | Direct
  10424 | Plans: Silvered Bronze Leggings    |  31 |  0.00% |  0.02% |  0.02% | Direct
  11164 | Formula: Enchant Weapon - Lesser Be|  35 |  0.00% |  0.02% |  0.02% | Direct
   3396 | Recipe: Elixir of Lesser Agility   |  28 |  0.00% |  0.02% |  0.02% | Direct
   6045 | Plans: Iron Counterweight          |  33 |  0.00% |  0.02% |  0.02% | Direct
  11167 | Formula: Enchant Boots - Lesser Spi|  38 |  0.00% |  0.02% |  0.02% | Direct
   3868 | Plans: Frost Tiger Blade           |  40 |  0.00% |  0.02% |  0.02% | Direct
   3874 | Plans: Polished Steel Boots        |  37 |  0.00% |  0.02% |  0.02% | Direct
   4299 | Pattern: Guardian Armor            |  35 |  0.00% |  0.02% |  0.02% | Direct
   4412 | Schematic: Moonsight Rifle         |  29 |  0.00% |  0.02% |  0.02% | Direct
   5974 | Pattern: Guardian Cloak            |  37 |  0.00% |  0.02% |  0.02% | Direct
   7084 | Pattern: Crimson Silk Shoulders    |  38 |  0.00% |  0.02% |  0.02% | Direct
  11098 | Formula: Enchant Cloak - Lesser Sha|  27 |  0.00% |  0.02% |  0.02% | Direct
  14206 | Vital Bracelets                    |  32 |  0.03% |  0.01% |  0.02% | 24050
   3870 | Plans: Green Iron Shoulders        |  32 |  0.00% |  0.02% |  0.02% | Direct
   4353 | Pattern: Spider Belt               |  36 |  0.00% |  0.02% |  0.02% | Direct
   1725 | Large Knapsack                     |  35 |  0.04% |  0.02% |  0.01% | 24054
   3866 | Plans: Jade Serpentblade           |  35 |  0.01% |  0.02% |  0.01% | Direct
   3867 | Plans: Golden Iron Destroyer       |  34 |  0.01% |  0.02% |  0.01% | Direct
   7090 | Pattern: Green Silk Armor          |  33 |  0.01% |  0.02% |  0.01% | Direct
   7360 | Pattern: Dark Leather Gloves       |  25 |  0.01% |  0.02% |  0.01% | Direct
   7450 | Pattern: Green Whelp Armor         |  35 |  0.01% |  0.02% |  0.01% | Direct
  10601 | Schematic: Bright-Eye Goggles      |  35 |  0.01% |  0.02% |  0.01% | Direct
  11165 | Formula: Enchant Weapon - Lesser El|  35 |  0.01% |  0.02% |  0.01% | Direct
  15542 | Wicked Chain Shoulder Pads         |  32 |  0.03% |  0.01% |  0.01% | 24050
   3830 | Recipe: Elixir of Fortitude        |  35 |  0.01% |  0.02% |  0.01% | Direct
   4352 | Pattern: Boots of the Enchanter    |  35 |  0.01% |  0.02% |  0.01% | Direct
   5774 | Pattern: Green Silk Pack           |  35 |  0.01% |  0.02% |  0.01% | Direct
   7085 | Pattern: Azure Shoulders           |  38 |  0.01% |  0.02% |  0.01% | Direct
   3042 | BKP "Sparrow" Smallbore            |  33 |  0.02% |  0.01% |  0.01% | 24050
   4414 | Schematic: Portable Bronze Mortar  |  33 |  0.01% |  0.02% |  0.01% | Direct
  15285 | Archer's Longbow                   |  32 |  0.02% |  0.01% |  0.01% | 24050
   3872 | Plans: Golden Scale Leggings       |  34 |  0.01% |  0.02% |  0.01% | Direct
   7449 | Pattern: Dusky Leather Leggings    |  33 |  0.01% |  0.02% |  0.01% | Direct
  15522 | Spiked Chain Shield                |  29 |  0.00% |  0.01% |  0.01% | 24068
  15947 | Sanguine Star                      |  28 |  0.00% |  0.01% |  0.01% | 24068
  14221 | Geomancer's Bracers                |  35 |  0.00% |  0.01% |  0.01% | 24052
  15142 | Ghostwalker Boots                  |  35 |  0.00% |  0.01% |  0.01% | 24052
  15543 | Wicked Chain Shield                |  34 |  0.00% |  0.01% |  0.01% | 24052
  15550 | Thick Scale Crown                  |  35 |  0.00% |  0.01% |  0.01% | 24052
   1705 | Lesser Moonstone                   |  30 |  0.02% |  0.01% |  0.01% | 24052
  15133 | Cutthroat's Buckler                |  33 |  0.02% |  0.01% |  0.01% | 24050
  15232 | Hacking Cleaver                    |  33 |  0.02% |  0.01% |  0.01% | 24050
