 Found in both:
Item ID | Item Name                          | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   9237 | Woodpaw Gnoll Mane                 |   1 | 45.73% | 80.00% | 34.27% | Direct
   4338 | Mageweave Cloth                    |  40 | 39.63% | 24.09% | 15.54% | Direct
   4306 | Silk Cloth                         |  30 | 15.57% | 10.37% |  5.19% | Direct
   4599 | Cured Ham Steak                    |  45 |  8.20% |  4.65% |  3.55% | Direct
   1645 | Moonberry Juice                    |  45 |  3.91% |  2.35% |  1.56% | Direct
   8705 | OOX-22/FE Distress Beacon          |  40 |  0.79% |  2.00% |  1.21% | Direct
   3928 | Superior Healing Potion            |  45 |  2.50% |  1.47% |  1.03% | Direct
   6149 | Greater Mana Potion                |  41 |  1.15% |  1.40% |  0.25% | Direct
   1529 | Jade                               |  35 |  0.01% |  0.14% |  0.13% | 24047
   3815 | Double Mail Vest                   |  33 |  0.01% |  0.13% |  0.12% | 24047
   3808 | Double Mail Belt                   |  34 |  0.02% |  0.13% |  0.11% | 24047
   3809 | Double Mail Boots                  |  32 |  0.02% |  0.13% |  0.11% | 24047
   4004 | Overlinked Chain Gloves            |  47 |  0.02% |  0.12% |  0.10% | 24036
   3812 | Double Mail Gloves                 |  36 |  0.03% |  0.13% |  0.10% | 24047
   3937 | Crochet Boots                      |  46 |  0.02% |  0.12% |  0.10% | 24036
   3941 | Crochet Pants                      |  45 |  0.02% |  0.12% |  0.10% | 24036
   4005 | Overlinked Chain Pants             |  43 |  0.02% |  0.12% |  0.10% | 24036
   3792 | Interlaced Belt                    |  34 |  0.04% |  0.13% |  0.09% | 24047
   3810 | Double Mail Bracers                |  38 |  0.04% |  0.13% |  0.09% | 24047
   3813 | Double Mail Pants                  |  35 |  0.04% |  0.13% |  0.09% | 24047
   8746 | Interlaced Cowl                    |  33 |  0.04% |  0.13% |  0.09% | 24047
   3938 | Crochet Bracers                    |  44 |  0.03% |  0.12% |  0.09% | 24036
   4007 | Overlinked Chain Armor             |  45 |  0.03% |  0.12% |  0.09% | 24036
   3780 | Long-barreled Musket               |  33 |  0.04% |  0.13% |  0.09% | 24047
   3817 | Reinforced Buckler                 |  33 |  0.04% |  0.13% |  0.09% | 24047
   3936 | Crochet Belt                       |  42 |  0.04% |  0.12% |  0.08% | 24036
   4001 | Overlinked Chain Boots             |  46 |  0.04% |  0.12% |  0.08% | 24036
   4006 | Overlinked Chain Shoulderpads      |  42 |  0.04% |  0.12% |  0.08% | 24036
   8751 | Overlinked Coif                    |  44 |  0.04% |  0.12% |  0.08% | 24036
   3796 | Interlaced Gloves                  |  33 |  0.05% |  0.13% |  0.08% | 24047
   3799 | Interlaced Vest                    |  37 |  0.05% |  0.13% |  0.08% | 24047
   3801 | Hardened Leather Boots             |  35 |  0.05% |  0.13% |  0.08% | 24047
   3804 | Hardened Leather Gloves            |  36 |  0.05% |  0.13% |  0.08% | 24047
   3805 | Hardened Leather Pants             |  32 |  0.05% |  0.13% |  0.08% | 24047
   3806 | Hardened Leather Shoulderpads      |  37 |  0.05% |  0.13% |  0.08% | 24047
   3814 | Double Mail Shoulderpads           |  39 |  0.05% |  0.13% |  0.08% | 24047
   8747 | Hardened Leather Helm              |  35 |  0.05% |  0.13% |  0.08% | 24047
   3942 | Crochet Shoulderpads               |  49 |  0.04% |  0.12% |  0.08% | 24036
   3943 | Crochet Vest                       |  43 |  0.04% |  0.12% |  0.08% | 24036
   4002 | Overlinked Chain Bracers           |  48 |  0.04% |  0.12% |  0.08% | 24036
   3794 | Interlaced Bracers                 |  38 |  0.05% |  0.13% |  0.08% | 24047
   3811 | Double-stitched Cloak              |  37 |  0.05% |  0.13% |  0.08% | 24047
   4422 | Scroll of Stamina III              |  45 |  0.35% |  0.28% |  0.07% | Direct
   4421 | Scroll of Protection III           |  40 |  0.45% |  0.52% |  0.07% | Direct
   3797 | Interlaced Pants                   |  39 |  0.06% |  0.13% |  0.07% | 24047
   3864 | Citrine                            |  40 |  0.06% |  0.12% |  0.07% | 24041
   4003 | Overlinked Chain Cloak             |  49 |  0.05% |  0.12% |  0.07% | 24036
   3779 | Hefty War Axe                      |  32 |  0.06% |  0.13% |  0.06% | 24047
