 Found in both:
Item ID | Item Name                  | iLvl| WH Drp | AC Drp |  Diff  | AC RLT
   6302 | Delicate Insect Wing       |   1 | 20.00% | 27.69% |  7.69% | Direct
  10211 | Elegant Boots              |  59 |  4.44% |  0.01% |  4.43% | 24033
  10105 | Wanderer's Armor           |  60 |  3.70% |  0.01% |  3.69% | 24016
  10230 | Engraved Breastplate       |  60 |  3.70% |  0.01% |  3.69% | 24016
  10236 | Engraved Leggings          |  59 |  3.70% |  0.01% |  3.69% | 24033
  10275 | Emerald Breastplate        |  60 |  3.70% |  0.01% |  3.69% | 24016
  15431 | Peerless Leggings          |  59 |  3.70% |  0.01% |  3.69% | 24033
  10216 | Elegant Belt               |  58 |  2.96% |  0.01% |  2.95% | 24033
  10381 | Commander's Girdle         |  59 |  2.96% |  0.01% |  2.95% | 24033
   6300 | Husk Fragment              |   1 | 13.33% | 10.77% |  2.56% | Direct
  10159 | Mercurial Cloak            |  59 |  2.22% |  0.01% |  2.21% | 24033
  10210 | Elegant Mantle             |  60 |  2.22% |  0.01% |  2.21% | 24016
  10235 | Engraved Helm              |  59 |  2.22% |  0.01% |  2.21% | 24033
  10104 | Councillor's Tunic         |  59 |  1.48% |  0.01% |  1.47% | 24033
  10138 | High Councillor's Cloak    |  59 |  1.48% |  0.01% |  1.47% | 24033
  10279 | Emerald Helm               |  58 |  1.48% |  0.01% |  1.47% | 24033
  10376 | Commander's Boots          |  60 |  1.48% |  0.01% |  1.47% | 24016
  10148 | Mighty Cloak               |  58 |  0.74% |  0.01% |  0.73% | 24033
  10181 | Mystical Armor             |  58 |  0.74% |  0.01% |  0.73% | 24033
  10182 | Swashbuckler's Breastplate |  58 |  0.74% |  0.01% |  0.73% | 24033
  10213 | Elegant Bracers            |  58 |  0.74% |  0.01% |  0.73% | 24033
  10249 | Master's Cloak             |  61 |  0.74% |  0.01% |  0.73% | 24016
--------------
22 common items found.

 Found in WH only:
--------------
0 WH-exclusive items found.

 Found in AC only:
   5759 | Thorium Lockbox               |  55 |  1.28 | ACDB | Direct
   7909 | Aquamarine                    |  45 |  0.19 | ACDB | Direct
   7910 | Star Ruby                     |  50 |  1.28 | ACDB | Direct
   8283 | Arcane Armor                  |  61 |  0.01 | ACDB | 24016
   8288 | Arcane Pads                   |  59 |  0.01 | ACDB | 24033
   8289 | Arcane Leggings               |  60 |  0.01 | ACDB | 24016
   8290 | Arcane Robe                   |  61 |  0.01 | ACDB | 24016
   8292 | Arcane Cover                  |  58 |  0.01 | ACDB | 24033
   8296 | Traveler's Jerkin             |  61 |  0.01 | ACDB | 24016
   8299 | Traveler's Helm               |  59 |  0.01 | ACDB | 24033
   8300 | Traveler's Leggings           |  60 |  0.01 | ACDB | 24016
   8301 | Traveler's Spaulders          |  59 |  0.01 | ACDB | 24033
   8302 | Hero's Bracers                |  58 |  0.01 | ACDB | 24033
   8303 | Hero's Breastplate            |  62 |  0.01 | ACDB | 24018
   8305 | Hero's Gauntlets              |  59 |  0.01 | ACDB | 24033
   8306 | Hero's Belt                   |  59 |  0.01 | ACDB | 24033
   8307 | Hero's Boots                  |  60 |  0.01 | ACDB | 24016
   8308 | Hero's Band                   |  60 |  0.01 | ACDB | 24016
   8309 | Hero's Leggings               |  61 |  0.01 | ACDB | 24016
   8310 | Hero's Pauldrons              |  60 |  0.01 | ACDB | 24016
   8313 | Hero's Buckler                |  62 |  0.01 | ACDB | 24018
  10101 | Councillor's Pants            |  58 |  0.01 | ACDB | 24033
  10102 | Councillor's Robes            |  59 |  0.01 | ACDB | 24033
  10112 | Wanderer's Leggings           |  58 |  0.01 | ACDB | 24033
  10118 | Ornate Breastplate            |  58 |  0.01 | ACDB | 24033
  10136 | High Councillor's Bracers     |  60 |  0.01 | ACDB | 24016
  10137 | High Councillor's Boots       |  61 |  0.01 | ACDB | 24016
  10139 | High Councillor's Circlet     |  62 |  0.01 | ACDB | 24018
  10140 | High Councillor's Gloves      |  61 |  0.01 | ACDB | 24016
  10141 | High Councillor's Pants       |  63 |  0.01 | ACDB | 24018
  10142 | High Councillor's Mantle      |  62 |  0.01 | ACDB | 24018
  10144 | High Councillor's Sash        |  60 |  0.01 | ACDB | 24016
  10145 | Mighty Girdle                 |  59 |  0.01 | ACDB | 24033
  10146 | Mighty Boots                  |  61 |  0.01 | ACDB | 24016
  10147 | Mighty Armsplints             |  60 |  0.01 | ACDB | 24016
  10149 | Mighty Gauntlets              |  61 |  0.01 | ACDB | 24016
  10150 | Mighty Helmet                 |  62 |  0.01 | ACDB | 24018
  10152 | Mighty Leggings               |  63 |  0.01 | ACDB | 24018
  10153 | Mighty Spaulders              |  62 |  0.01 | ACDB | 24018
  10154 | Mercurial Girdle              |  61 |  0.01 | ACDB | 24016
  10155 | Mercurial Greaves             |  61 |  0.01 | ACDB | 24016
  10156 | Mercurial Bracers             |  60 |  0.01 | ACDB | 24016
  10160 | Mercurial Circlet             |  62 |  0.01 | ACDB | 24018
  10161 | Mercurial Gauntlets           |  61 |  0.01 | ACDB | 24016
  10162 | Mercurial Legguards           |  63 |  0.01 | ACDB | 24018
  10163 | Mercurial Pauldrons           |  62 |  0.01 | ACDB | 24018
  10164 | Templar Chestplate            |  58 |  0.01 | ACDB | 24033
  10178 | Mystical Robe                 |  58 |  0.01 | ACDB | 24033
  10214 | Elegant Gloves                |  59 |  0.01 | ACDB | 24033
  10215 | Elegant Robes                 |  62 |  0.01 | ACDB | 24018
  10217 | Elegant Leggings              |  61 |  0.01 | ACDB | 24016
  10218 | Elegant Tunic                 |  62 |  0.01 | ACDB | 24018
  10219 | Elegant Circlet               |  60 |  0.01 | ACDB | 24016
  10220 | Nightshade Tunic              |  63 |  0.01 | ACDB | 24018
  10221 | Nightshade Girdle             |  58 |  0.01 | ACDB | 24033
  10222 | Nightshade Boots              |  59 |  0.01 | ACDB | 24033
  10223 | Nightshade Armguards          |  58 |  0.01 | ACDB | 24033
  10225 | Nightshade Gloves             |  59 |  0.01 | ACDB | 24033
  10226 | Nightshade Helmet             |  61 |  0.01 | ACDB | 24016
  10227 | Nightshade Leggings           |  62 |  0.01 | ACDB | 24018
  10228 | Nightshade Spaulders          |  60 |  0.01 | ACDB | 24016
  10232 | Engraved Gauntlets            |  58 |  0.01 | ACDB | 24033
